iter	Logloss
0	0.6885054751
1	0.6828572203
2	0.6779574511
3	0.6729795427
4	0.6685823678
5	0.6643585841
6	0.659380031
7	0.6542282578
8	0.6486590155
9	0.6447891676
10	0.6405430438
11	0.6377692185
12	0.633907019
13	0.6299034399
14	0.6256384544
15	0.6220051999
16	0.6172426843
17	0.6136316278
18	0.6090632674
19	0.6053636533
20	0.6027422358
21	0.5998595173
22	0.5968848425
23	0.5941031503
24	0.5909391584
25	0.5884032727
26	0.585836915
27	0.5819232481
28	0.5777952325
29	0.5749957668
30	0.5727160464
31	0.570190512
32	0.567433086
33	0.5645912093
34	0.562334172
35	0.5599014597
36	0.5568701296
37	0.5539433439
38	0.5514934133
39	0.5493374807
40	0.5469973447
41	0.5441545026
42	0.5410207144
43	0.5388117823
44	0.5365942787
45	0.53454676
46	0.5325937588
47	0.5299356801
48	0.5281095422
49	0.5259633308
50	0.5236792818
51	0.5211933164
52	0.5196431688
53	0.5173501331
54	0.515735389
55	0.5135220535
56	0.5119455815
57	0.510197295
58	0.507748172
59	0.5067781447
60	0.5048311862
61	0.5030599998
62	0.5014215888
63	0.4995843433
64	0.4975263542
65	0.495575995
66	0.4937137962
67	0.4919839101
68	0.4898735924
69	0.4883943486
70	0.487252832
71	0.4858859595
72	0.4844773327
73	0.4829657395
74	0.4810188531
75	0.4798061179
76	0.478331352
77	0.4767067369
78	0.4752765217
79	0.4736321888
80	0.471630496
81	0.4702563395
82	0.4687615179
83	0.4672861535
84	0.465942333
85	0.4645097247
86	0.4633459736
87	0.46213192
88	0.4611791865
89	0.460046103
90	0.458550142
91	0.4567439026
92	0.4555114634
93	0.4540315336
94	0.4532129147
95	0.4521579176
96	0.4511146564
97	0.4505095858
98	0.4495632562
99	0.4485579821
100	0.4471391314
101	0.4458365091
102	0.4451934017
103	0.4443507679
104	0.4429448798
105	0.4417587116
106	0.4409329337
107	0.4402998694
108	0.4389914099
109	0.4376787347
110	0.4369733898
111	0.4362678398
112	0.4354044562
113	0.4343663408
114	0.4330890383
115	0.4319043459
116	0.4305857028
117	0.4296495366
118	0.4283474227
119	0.426965632
120	0.4257827738
121	0.4250292031
122	0.4239010768
123	0.4224361514
124	0.4217105162
125	0.4209363086
126	0.4203017358
127	0.4192663844
128	0.4182492122
129	0.4174222525
130	0.4168817601
131	0.4158777049
132	0.4152519804
133	0.414432087
134	0.4134842839
135	0.4125969723
136	0.4121519498
137	0.4115389548
138	0.4102758643
139	0.4095688028
140	0.4087460728
141	0.4081148
142	0.4072359932
143	0.4064175282
144	0.4057872078
145	0.4050840882
146	0.4041921511
147	0.403185565
148	0.4018154837
149	0.4012335192
150	0.4004630586
151	0.4000442089
152	0.3991892644
153	0.398483834
154	0.3978814126
155	0.3966774114
156	0.3962348606
157	0.3953656987
158	0.3945708306
159	0.3936832767
160	0.3931229501
161	0.3925443438
162	0.3918123198
163	0.3911200145
164	0.3903985664
165	0.3896946362
166	0.3889529172
167	0.3886589476
168	0.3878135426
169	0.3868568818
170	0.3862638194
171	0.3856698668
172	0.3850765692
173	0.3844535399
174	0.3838251558
175	0.3831461368
